ts_code,symbol,name,sw_l1_code,sw_l1_name,sw_l2_code,sw_l2_name,sw_l3_code,sw_l3_name,in_date,fetch_date,data_source
000998.SZ,000998,隆平高科,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20000629,2026-08-01,tushare
000713.SZ,000713,国投丰乐,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,19970422,2026-08-01,tushare
600371.SH,600371,万向德农,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20020916,2026-08-01,tushare
002041.SZ,002041,登海种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20050324,2026-08-01,tushare
600354.SH,600354,敦煌种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20070702,2026-08-01,tushare
300087.SZ,300087,ST荃银,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20100112,2026-08-01,tushare
300189.SZ,300189,神农种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20110107,2026-08-01,tushare
600313.SH,600313,农发种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20110110,2026-08-01,tushare
920087.BJ,920087.BJ,秋乐种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20221206,2026-08-01,tushare
920403.BJ,920403.BJ,康农种业,801010.SI,农林牧渔,801016.SI,种植业,850111.SI,种子,20240118,2026-08-01,tushare
600598.SH,600598,北大荒,801010.SI,农林牧渔,801016.SI,种植业,850112.SI,粮食种植,20110110,2026-08-01,tushare
601952.SH,601952,苏垦农发,801010.SI,农林牧渔,801016.SI,种植业,850112.SI,粮食种植,20170504,2026-08-01,tushare
600762.SH,600762,S*ST金荔(退市),801010.SI,农林牧渔,801016.SI,种植业,850112.SI,粮食种植,19961025,2026-08-01,tushare
600359.SH,600359,新农开发,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,19990429,2026-08-01,tushare
600108.SH,600108,亚盛集团,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,19970818,2026-08-01,tushare
600540.SH,600540,新赛股份,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,20040102,2026-08-01,tushare
601118.SH,601118,海南橡胶,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,20100128,2026-08-01,tushare
002215.SZ,002215,诺普信,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,20250509,2026-08-01,tushare
603336.SH,603336,宏辉果蔬,801010.SI,农林牧渔,801016.SI,种植业,850113.SI,其他种植业,20161107,2026-08-01,tushare
300511.SZ,300511,雪榕生物,801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,20210730,2026-08-01,tushare
300970.SZ,300970,华绿生物,801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,20210730,2026-08-01,tushare
600883.SH,600883,博闻科技,801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,20220729,2026-08-01,tushare
002772.SZ,002772,众兴菌业,801010.SI,农林牧渔,801016.SI,种植业,850114.SI,食用菌,20210730,2026-08-01,tushare
600097.SH,600097,开创国际,801010.SI,农林牧渔,801015.SI,渔业,850121.SI,海洋捕捞,19970619,2026-08-01,tushare
000798.SZ,000798,中水渔业,801010.SI,农林牧渔,801015.SI,渔业,850121.SI,海洋捕捞,19980212,2026-08-01,tushare
600257.SH,600257,大湖股份,801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,20000612,2026-08-01,tushare
600467.SH,600467,好当家,801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,20040401,2026-08-01,tushare
002069.SZ,002069,獐子岛,801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,20060919,2026-08-01,tushare
300094.SZ,300094,国联水产,801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,20100129,2026-08-01,tushare
600709.SH,600709,ST生态(退市),801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,19960618,2026-08-01,tushare
000588.SZ,000588,PT粤金曼(退市),801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,19960123,2026-08-01,tushare
600275.SH,600275,退市昌鱼(退市),801010.SI,农林牧渔,801015.SI,渔业,850122.SI,水产养殖,20180713,2026-08-01,tushare
600265.SH,600265,*ST景谷,801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ,20000825,2026-08-01,tushare
000592.SZ,000592,平潭发展,801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ,20091009,2026-08-01,tushare
000663.SZ,000663,永安林业,801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ,20220729,2026-08-01,tushare
002679.SZ,002679,福建金森,801010.SI,农林牧渔,801011.SI,林业Ⅱ,850131.SI,林业Ⅲ,20120130,2026-08-01,tushare
000702.SZ,000702,正虹科技,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,19970318,2026-08-01,tushare
000876.SZ,000876,新希望,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20260701,2026-08-01,tushare
001366.SZ,001366,播恩集团,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20230224,2026-08-01,tushare
002385.SZ,002385,大北农,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20100129,2026-08-01,tushare
002100.SZ,002100,天康生物,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20150701,2026-08-01,tushare
603363.SH,603363,傲农生物,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20170907,2026-08-01,tushare
603609.SH,603609,禾丰股份,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20140207,2026-08-01,tushare
002548.SZ,002548,金新农,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20110110,2026-08-01,tushare
688156.SH,688156,路德科技,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20250509,2026-08-01,tushare
002567.SZ,002567,唐人神,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20110117,2026-08-01,tushare
603151.SH,603151,邦基科技,801010.SI,农林牧渔,801014.SI,饲料,850142.SI,畜禽饲料,20220923,2026-08-01,tushare
603668.SH,603668,天马科技,801010.SI,农林牧渔,801014.SI,饲料,850143.SI,水产饲料,20161201,2026-08-01,tushare
002696.SZ,002696,百洋股份,801010.SI,农林牧渔,801014.SI,饲料,850143.SI,水产饲料,20220729,2026-08-01,tushare
001313.SZ,001313,粤海饲料,801010.SI,农林牧渔,801014.SI,饲料,850143.SI,水产饲料,20220121,2026-08-01,tushare
002311.SZ,002311,海大集团,801010.SI,农林牧渔,801014.SI,饲料,850143.SI,水产饲料,20090112,2026-08-01,tushare
002891.SZ,002891,中宠股份,801010.SI,农林牧渔,801014.SI,饲料,850144.SI,宠物食品,20170825,2026-08-01,tushare
300673.SZ,300673,佩蒂股份,801010.SI,农林牧渔,801014.SI,饲料,850144.SI,宠物食品,20170711,2026-08-01,tushare
920419.BJ,920419.BJ,路斯股份,801010.SI,农林牧渔,801014.SI,饲料,850144.SI,宠物食品,20220224,2026-08-01,tushare
301498.SZ,301498,乖宝宠物,801010.SI,农林牧渔,801014.SI,饲料,850144.SI,宠物食品,20230731,2026-08-01,tushare
000972.SZ,000972,中基健康,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20000512,2026-08-01,tushare
600962.SH,600962,国投中鲁,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20040618,2026-08-01,tushare
300175.SZ,300175,朗源股份,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20110127,2026-08-01,tushare
605198.SH,605198,安德利,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20200909,2026-08-01,tushare
600251.SH,600251,冠农股份,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20170522,2026-08-01,tushare
920023.BJ,920023.BJ,*ST田野,801010.SI,农林牧渔,801012.SI,农产品加工,850151.SI,果蔬加工,20230213,2026-08-01,tushare
600127.SH,600127,金健米业,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,19980506,2026-08-01,tushare
603182.SH,603182,嘉华股份,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20220826,2026-08-01,tushare
002852.SZ,002852,道道全,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20170224,2026-08-01,tushare
000505.SZ,000505,京粮控股,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20180713,2026-08-01,tushare
300999.SZ,300999,金龙鱼,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20200921,2026-08-01,tushare
603231.SH,603231,索宝蛋白,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20231201,2026-08-01,tushare
000019.SZ,000019,深粮控股,801010.SI,农林牧渔,801012.SI,农产品加工,850152.SI,粮油加工,20210730,2026-08-01,tushare
600191.SH,600191,华资实业,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,19981210,2026-08-01,tushare
000930.SZ,000930,中粮科技,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20110110,2026-08-01,tushare
002286.SZ,002286,保龄宝,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20090812,2026-08-01,tushare
300138.SZ,300138,晨光生物,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20101025,2026-08-01,tushare
300268.SZ,300268,佳沃食品,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20111010,2026-08-01,tushare
001338.SZ,001338,永顺泰,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20221028,2026-08-01,tushare
600737.SH,600737,中粮糖业,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20170629,2026-08-01,tushare
003030.SZ,003030,祖名股份,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20210730,2026-08-01,tushare
920273.BJ,920273.BJ,一致魔芋,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20241112,2026-08-01,tushare
002481.SZ,002481,双塔食品,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20210730,2026-08-01,tushare
000911.SZ,000911,*ST广糖,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,19990104,2026-08-01,tushare
920371.BJ,920371.BJ,欧福蛋业,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20220109,2026-08-01,tushare
002604.SZ,002604,龙力退(退市),801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20110720,2026-08-01,tushare
002220.SZ,002220,天宝退(退市),801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20090601,2026-08-01,tushare
002086.SZ,002086,东方海洋,801010.SI,农林牧渔,801012.SI,农产品加工,850154.SI,其他农产品加工,20260701,2026-08-01,tushare
000735.SZ,000735,罗牛山,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,19970611,2026-08-01,tushare
600975.SH,600975,新五丰,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20040608,2026-08-01,tushare
002157.SZ,002157,正邦科技,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20070816,2026-08-01,tushare
002124.SZ,002124,天邦食品,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20070402,2026-08-01,tushare
002714.SZ,002714,牧原股份,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20140122,2026-08-01,tushare
300498.SZ,300498,温氏股份,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20151102,2026-08-01,tushare
001201.SZ,001201,东瑞股份,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20210415,2026-08-01,tushare
603477.SH,603477,巨星农牧,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20220121,2026-08-01,tushare
605296.SH,605296,神农集团,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20210426,2026-08-01,tushare
000048.SZ,000048,京基智农,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20250811,2026-08-01,tushare
603717.SH,603717,天域生物,801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20250811,2026-08-01,tushare
002477.SZ,002477,雏鹰退(退市),801010.SI,农林牧渔,801017.SI,养殖业,850172.SI,生猪养殖,20111010,2026-08-01,tushare
002234.SZ,002234,民和股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20080424,2026-08-01,tushare
002299.SZ,002299,圣农发展,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20090922,2026-08-01,tushare
002458.SZ,002458,益生股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20100729,2026-08-01,tushare
002746.SZ,002746,仙坛股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20150115,2026-08-01,tushare
002982.SZ,002982,湘佳股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20200408,2026-08-01,tushare
300761.SZ,300761,立华股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20190218,2026-08-01,tushare
300967.SZ,300967,晓鸣股份,801010.SI,农林牧渔,801017.SI,养殖业,850173.SI,肉鸡养殖,20210329,2026-08-01,tushare
