feat,ts_ic,t,resid_ic,resid_t,h1_ic,h2_ic,half_same_sign,pass,type
ovd_0_5,-0.0,-0.0,-0.0004,-0.31,0.0328,-0.0738,False,False,GAP
ovd_5_15,0.0503,4.28,0.0043,3.18,0.1791,-0.0299,False,False,GAP
ovd_15p,0.102,6.88,0.0081,4.92,0.1979,0.1952,True,True,GAP
ovd_total,0.1015,8.55,0.0085,5.59,0.2024,0.1163,True,True,GAP
ovd_wdist,0.1243,8.88,0.0102,6.47,0.2292,0.2271,True,True,GAP
wr_chg5,-0.015,-1.76,-0.0031,-3.24,-0.024,-0.0111,True,False,GAP
wr_chg20,0.0072,0.64,-0.0027,-2.03,-0.0498,0.0416,False,False,GAP
wr_clear_evt,0.0119,1.22,0.0004,0.35,0.06,-0.0005,False,False,GAP
wr_clear_evt20,0.0355,4.29,0.0023,2.51,0.0423,0.057,True,True,GAP
wr_low_flat,0.0072,0.73,0.0002,0.2,0.0578,-0.006,False,False,GAP
winner_ratio,-0.0609,-5.69,-0.0043,-3.76,-0.1506,-0.0455,True,True,BASE(ref)
wr_sm5,-0.0641,-5.13,-0.0045,-3.12,-0.1687,-0.0396,True,True,BASE(ref)
pct_90_con,0.0111,0.79,-0.0043,-3.76,0.0264,0.0914,True,False,BASE(ref)
cost_bias,-0.0749,-6.07,-0.0043,-3.76,-0.1834,-0.0757,True,True,BASE(ref)
resistance_dist,0.0099,1.17,-0.0043,-3.76,0.0443,0.0233,True,False,BASE(ref)
peak_roc_5d,-0.042,-3.74,-0.0043,-3.76,-0.0311,-0.0671,True,True,BASE(ref)
kimi_width,-0.0125,-0.8,0.0001,0.03,-0.0751,0.0968,False,False,BASE(ref)
