regime_col,factor,ic_Low,t_Low,n_Low,ic_Mid,t_Mid,n_Mid,ic_High,t_High,n_High,dHiLo,t_dHiLo
limit_up_count,r5,-0.0435,-3.59,152,-0.0364,-3.37,174,-0.0425,-3.12,165,0.001,0.05
limit_up_count,rev5,0.0435,3.59,152,0.0364,3.37,174,0.0425,3.12,165,-0.001,-0.05
limit_up_count,amp5,-0.0611,-3.37,152,-0.0704,-4.76,174,-0.0817,-4.14,165,-0.0207,-0.77
limit_up_count,c2l5,-0.0691,-5.33,152,-0.0747,-6.25,174,-0.0856,-5.32,165,-0.0165,-0.8
limit_up_count_ma5,r5,-0.059,-5.23,161,-0.0131,-1.17,165,-0.0502,-3.68,165,0.0088,0.5
limit_up_count_ma5,rev5,0.059,5.23,161,0.0131,1.17,165,0.0502,3.68,165,-0.0088,-0.5
limit_up_count_ma5,amp5,-0.0516,-3.09,161,-0.0784,-4.62,165,-0.0835,-4.42,165,-0.0319,-1.26
limit_up_count_ma5,c2l5,-0.0772,-6.67,161,-0.0702,-5.5,165,-0.0825,-5.02,165,-0.0053,-0.26
blow_rate,r5,-0.0221,-1.78,166,-0.0475,-4.13,163,-0.0528,-4.21,162,-0.0307,-1.74
blow_rate,rev5,0.0221,1.78,166,0.0475,4.13,163,0.0528,4.21,162,0.0307,1.74
blow_rate,amp5,-0.0413,-2.34,166,-0.0827,-5.13,163,-0.0907,-4.86,162,-0.0494,-1.92
blow_rate,c2l5,-0.055,-3.79,166,-0.0848,-6.64,163,-0.0906,-6.54,162,-0.0356,-1.78
max_board_height,r5,-0.0221,-1.67,149,-0.0398,-3.44,184,-0.0592,-5.03,158,-0.0371,-2.1
max_board_height,rev5,0.0221,1.67,149,0.0398,3.44,184,0.0592,5.03,158,0.0371,2.1
max_board_height,amp5,-0.0802,-3.97,149,-0.072,-4.49,184,-0.0622,-3.69,158,0.0181,0.69
max_board_height,c2l5,-0.0756,-4.89,149,-0.0792,-6.19,184,-0.0746,-5.6,158,0.001,0.05
lu_premium_1d,r5,-0.0184,-1.46,163,-0.0518,-4.53,163,-0.0516,-4.18,165,-0.0332,-1.88
lu_premium_1d,rev5,0.0184,1.46,163,0.0518,4.53,163,0.0516,4.18,165,0.0332,1.88
lu_premium_1d,amp5,-0.0709,-3.55,163,-0.0783,-4.75,163,-0.0649,-4.05,165,0.006,0.23
lu_premium_1d,c2l5,-0.0666,-4.37,163,-0.085,-6.25,163,-0.0782,-6.33,165,-0.0116,-0.59
