date,n_stocks,mkt_ret,limit_up_count,touched_count,max_board_height,blow_count,blow_rate,lu_premium_1d,lu_cont_n,limit_up_count_ma5
2024-06-03,4765,-0.017782562391876436,14,29,1,15,0.5172413793103449,,0,
2024-06-04,4765,-0.006798006112961622,24,35,2,11,0.3142857142857143,0.03363345681337249,14,
2024-06-05,4767,-0.018339115732435223,15,35,3,20,0.5714285714285714,0.03071598394050817,24,
2024-06-06,4767,-0.0347955981948049,18,27,4,9,0.3333333333333333,0.02600984454288209,15,
2024-06-07,4765,0.01794830919519323,44,65,5,21,0.3230769230769231,-0.018566565488526077,18,23.0
2024-06-11,4763,0.00616404119248274,24,37,6,13,0.35135135135135137,-0.0005892287333697727,44,25.0
2024-06-12,4767,0.01282494533750235,39,53,7,14,0.2641509433962264,0.03859914214489539,24,28.0
2024-06-13,4769,-0.0032654711091342067,39,48,4,9,0.1875,0.011497215032009785,39,32.8
2024-06-14,4770,0.0006524300141521677,21,40,3,19,0.475,0.0026077176377456383,39,33.4
2024-06-17,4770,-0.004435913543527665,23,41,4,18,0.43902439024390244,0.024482765400927746,21,29.2
2024-06-18,4771,0.012496225473253466,35,52,5,17,0.3269230769230769,0.021054539508690608,23,31.4
2024-06-19,4771,-0.005949517299395164,30,50,6,20,0.4,0.03942318249804451,35,29.6
2024-06-20,4772,-0.019073113058232408,25,46,7,21,0.45652173913043476,0.04006753354121147,30,26.8
2024-06-21,4772,-0.0014953342044526131,23,36,5,13,0.3611111111111111,-0.0023125550631532153,25,27.2
2024-06-24,4773,-0.03602578579305923,18,32,3,14,0.4375,0.04795597486859981,23,26.2
2024-06-25,4771,3.251626354817296e-05,49,64,4,15,0.234375,0.006097194504803541,18,29.0
2024-06-26,4774,0.028350055313121677,42,59,5,17,0.288135593220339,-0.0008274185555728515,49,31.4
2024-06-27,4774,-0.018374739222831123,24,47,4,23,0.48936170212765956,0.044416864713654025,42,31.2
2024-06-28,4774,0.004892559376319635,29,54,3,25,0.46296296296296297,-0.015216287563162786,24,32.4
2024-07-01,4775,0.00831306737868914,33,56,4,23,0.4107142857142857,-0.0003109306757893282,29,35.4
