scenario,regime,h,spread_HiLo,t,n_hi,n_lo,sp_h1,sp_h2,stable
all,limit_up_count,1,-0.00033,-0.16,166,158,0.00207,-0.00249,False
all,limit_up_count_ma5,1,-0.00041,-0.21,167,165,0.00162,-0.00243,False
all,blow_rate,1,-0.0004,-0.22,166,167,0.00015,-0.00194,False
all,max_board_height,1,0.00264,1.25,158,152,0.00285,0.00217,True
all,lu_premium_1d,1,-0.00139,-0.69,167,167,-0.00229,-0.00088,True
all,limit_up_count,3,-0.00044,-0.11,165,157,0.00554,-0.00525,False
all,limit_up_count_ma5,3,-0.0025,-0.72,167,165,0.00096,-0.00588,False
all,blow_rate,3,-0.0008,-0.22,165,166,-0.00724,0.00258,False
all,max_board_height,3,0.01157,3.06,158,152,0.01185,0.00911,True
all,lu_premium_1d,3,0.00404,1.1,166,166,0.00947,-0.00285,False
all,limit_up_count,5,-0.00276,-0.56,165,156,0.0035,-0.00697,False
all,limit_up_count_ma5,5,-0.00604,-1.29,165,165,-0.00496,-0.00624,True
all,blow_rate,5,-0.00603,-1.36,163,166,-0.01282,-0.00414,True
all,max_board_height,5,0.01438,3.01,158,152,0.01105,0.01317,True
all,lu_premium_1d,5,0.00349,0.74,166,164,0.00472,-7e-05,False
all,limit_up_count,10,-0.00945,-1.39,161,156,-0.00859,-0.0053,True
all,limit_up_count_ma5,10,-0.01718,-2.62,163,165,-0.01953,-0.01217,True
all,blow_rate,10,-0.01054,-1.8,162,163,-0.0191,-0.01072,True
all,max_board_height,10,0.00825,1.43,156,152,-0.00977,0.01617,False
all,lu_premium_1d,10,0.00989,1.51,165,162,0.01668,-0.0019,False
brk0_20,limit_up_count,1,-0.00019,-0.08,166,158,0.00178,-0.00197,False
brk0_20,limit_up_count_ma5,1,-0.00102,-0.47,167,165,0.00088,-0.003,False
brk0_20,blow_rate,1,-0.00224,-1.09,166,167,-0.00135,-0.00351,True
brk0_20,max_board_height,1,0.00244,1.07,158,152,0.00172,0.0033,True
brk0_20,lu_premium_1d,1,-0.00173,-0.77,167,167,-0.0034,-0.00025,True
brk0_20,limit_up_count,3,-0.00041,-0.1,165,157,0.00687,-0.00704,False
brk0_20,limit_up_count_ma5,3,-0.00444,-1.15,167,165,-5e-05,-0.00903,True
brk0_20,blow_rate,3,-0.00421,-1.05,165,166,-0.01025,-0.00079,True
brk0_20,max_board_height,3,0.01229,2.93,158,152,0.01096,0.01168,True
brk0_20,lu_premium_1d,3,0.00284,0.69,166,166,0.00757,-0.00305,False
brk0_20,limit_up_count,5,-0.0037,-0.67,165,156,0.00482,-0.0108,False
brk0_20,limit_up_count_ma5,5,-0.00818,-1.55,165,165,-0.00393,-0.01204,True
brk0_20,blow_rate,5,-0.0101,-1.99,163,166,-0.01557,-0.00949,True
brk0_20,max_board_height,5,0.01425,2.63,158,152,0.0109,0.0136,True
brk0_20,lu_premium_1d,5,0.00212,0.4,166,164,0.00313,-0.00089,False
brk0_20,limit_up_count,10,-0.01182,-1.53,161,156,-0.00571,-0.0139,True
brk0_20,limit_up_count_ma5,10,-0.02088,-2.85,163,165,-0.01678,-0.02319,True
brk0_20,blow_rate,10,-0.01431,-2.1,162,163,-0.01946,-0.018,True
brk0_20,max_board_height,10,0.00789,1.14,156,152,-0.01017,0.01602,False
brk0_20,lu_premium_1d,10,0.00988,1.34,165,162,0.01617,-0.00142,False
quiet_comp,limit_up_count,1,0.00103,0.45,165,156,0.00484,-0.00286,False
quiet_comp,limit_up_count_ma5,1,-0.00033,-0.15,163,165,0.00261,-0.00325,False
quiet_comp,blow_rate,1,-0.00129,-0.66,163,167,-0.0017,-0.00195,True
quiet_comp,max_board_height,1,0.00438,1.91,156,151,0.00657,0.00258,True
quiet_comp,lu_premium_1d,1,-0.0018,-0.81,166,164,-0.00274,-0.0012,True
quiet_comp,limit_up_count,3,0.00104,0.24,164,155,0.00907,-0.00604,False
quiet_comp,limit_up_count_ma5,3,-0.00106,-0.27,163,165,0.00493,-0.00686,False
quiet_comp,blow_rate,3,-0.00121,-0.3,162,166,-0.00832,0.00254,False
quiet_comp,max_board_height,3,0.01388,3.37,156,151,0.01509,0.01077,True
quiet_comp,lu_premium_1d,3,0.0032,0.79,165,163,0.00852,-0.0037,False
quiet_comp,limit_up_count,5,-0.00112,-0.2,164,154,0.00734,-0.00747,False
quiet_comp,limit_up_count_ma5,5,-0.00429,-0.83,161,165,-0.00236,-0.00494,True
quiet_comp,blow_rate,5,-0.00727,-1.46,160,166,-0.01585,-0.00425,True
quiet_comp,max_board_height,5,0.01919,3.65,156,151,0.01601,0.01787,True
quiet_comp,lu_premium_1d,5,0.00227,0.43,165,161,0.00422,-0.0026,False
quiet_comp,limit_up_count,10,-0.00548,-0.73,160,154,-0.00412,-0.00213,True
quiet_comp,limit_up_count_ma5,10,-0.01141,-1.6,159,165,-0.0153,-0.00451,True
quiet_comp,blow_rate,10,-0.01345,-2.07,159,163,-0.02294,-0.01231,True
quiet_comp,max_board_height,10,0.01361,2.18,154,151,-0.0071,0.02472,False
quiet_comp,lu_premium_1d,10,0.00612,0.86,164,159,0.01545,-0.00851,False
next_lu,limit_up_count,1,0.00236,0.55,134,93,-0.00095,0.00613,False
next_lu,limit_up_count_ma5,1,-5e-05,-0.01,152,78,-0.01118,0.00755,False
next_lu,blow_rate,1,-0.00302,-0.76,117,116,-0.00283,-0.00736,True
next_lu,max_board_height,1,0.00816,2.01,120,101,-0.00446,0.01496,False
next_lu,lu_premium_1d,1,0.00479,1.1,106,118,0.00645,0.00183,True
next_lu,limit_up_count,3,-0.00586,-0.68,134,92,-0.00825,-0.00259,True
next_lu,limit_up_count_ma5,3,-0.01038,-1.16,152,78,-0.03051,0.00274,False
