scenario,factor,h,regime,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
all,mom5,1,limit_up_count,-0.044,-0.0331,0.0109,0.55,166,158,-0.0328,0.0574,False,0.07,False
all,mom5,1,limit_up_count_ma5,-0.0414,-0.0362,0.0051,0.27,167,165,-0.0316,0.0421,False,0.034,False
all,mom5,1,blow_rate,-0.0322,-0.0373,-0.0051,-0.28,166,167,0.0325,-0.0256,False,-0.036,False
all,mom5,1,max_board_height,-0.0155,-0.0467,-0.0312,-1.51,158,152,-0.0355,-0.0195,True,-0.193,False
all,mom5,1,lu_premium_1d,-0.0275,-0.0439,-0.0165,-0.84,167,167,0.0024,-0.0306,False,-0.107,False
all,mom5,3,limit_up_count,-0.0415,-0.0406,0.0009,0.05,165,157,-0.0412,0.0413,False,0.006,False
all,mom5,3,limit_up_count_ma5,-0.048,-0.0536,-0.0056,-0.33,167,165,-0.0611,0.0518,False,-0.042,False
all,mom5,3,blow_rate,-0.0135,-0.0531,-0.0396,-2.32,165,166,-0.0205,-0.0358,True,-0.296,False
all,mom5,3,max_board_height,-0.0281,-0.053,-0.0249,-1.36,158,152,-0.0182,-0.0142,True,-0.174,False
all,mom5,3,lu_premium_1d,-0.0289,-0.0456,-0.0167,-0.98,166,166,-0.0103,-0.0139,True,-0.125,False
all,mom5,5,limit_up_count,-0.0421,-0.0402,0.0019,0.11,165,156,-0.051,0.0557,False,0.014,False
all,mom5,5,limit_up_count_ma5,-0.0562,-0.0478,0.0084,0.48,165,165,-0.0456,0.065,False,0.061,False
all,mom5,5,blow_rate,-0.0208,-0.05,-0.0292,-1.65,163,166,0.0092,-0.0447,False,-0.211,False
all,mom5,5,max_board_height,-0.0193,-0.0573,-0.038,-2.16,158,152,-0.0401,-0.0257,True,-0.276,False
all,mom5,5,lu_premium_1d,-0.0159,-0.0497,-0.0338,-1.92,166,164,-0.0249,-0.0333,True,-0.245,False
all,mom5,10,limit_up_count,-0.0486,-0.0511,-0.0025,-0.14,161,156,-0.0293,0.027,False,-0.018,False
