scenario,regime,factor,h,ic_lo,ic_hi,dIC,dt,n_hi,n_lo,ns_rows,dIC_h1,dIC_h2,stable,dt_adj_sqrtN,pass_bonf_z
brk0_20,limit_up_count_ma5,vp_div,10,-0.1032,-0.0263,0.077,4.5,163,165,40931,0.0991,0.0513,True,0.574,True
illiq,limit_up_count_ma5,to_trend,5,-0.0191,-0.0779,-0.0589,-4.45,165,165,82955,-0.107,-0.0066,True,-0.568,True
illiq,limit_up_count_ma5,to_trend,3,-0.0174,-0.071,-0.0536,-4.1,167,165,82955,-0.0983,-0.008,True,-0.523,True
bigup,max_board_height,mom10,10,-0.039,-0.137,-0.098,-3.88,149,140,19687,-0.0637,-0.1111,True,-0.495,True
illiq,limit_up_count_ma5,to_trend,10,-0.0206,-0.0645,-0.0439,-3.85,163,165,82955,-0.056,-0.031,True,-0.491,True
brk0_20,limit_up_count_ma5,vp_div,5,-0.0869,-0.0196,0.0674,3.8,165,165,40931,0.085,0.0451,True,0.485,True
bigup,limit_up_count_ma5,amihud20,10,-0.0466,0.0481,0.0947,3.79,163,142,19687,0.1113,0.0771,True,0.484,True
bigup,limit_up_count_ma5,c2l5,5,-0.1525,-0.0514,0.1011,3.7,165,142,19687,0.1026,0.097,True,0.472,True
brk0_20,blow_rate,std5,10,-0.0844,-0.1593,-0.0748,-3.68,162,163,40931,-0.0106,-0.0995,True,-0.47,True
hivol,max_board_height,up_days,1,-0.0052,-0.058,-0.0529,-3.61,158,152,83454,-0.0587,-0.043,True,-0.461,True
illiq,limit_up_count_ma5,cost_bias,10,-0.0338,-0.0739,-0.0401,-3.59,163,165,82955,-0.0334,-0.0454,True,-0.458,True
brk0_20,limit_up_count_ma5,cost_bias,5,-0.0668,-0.0184,0.0484,3.57,165,165,40931,0.0209,0.0713,True,0.456,True
brk0_20,limit_up_count_ma5,vp_div,3,-0.0696,-0.008,0.0616,3.54,167,165,40931,0.0687,0.0507,True,0.452,True
bigup,limit_up_count_ma5,amp5,5,-0.1441,-0.0507,0.0934,3.39,165,140,19687,0.1037,0.0806,True,0.433,True
illiq,limit_up_count_ma5,c2l5,3,0.0008,-0.066,-0.0668,-3.34,167,165,82955,-0.0863,-0.0487,True,-0.426,False
illiq,limit_up_count_ma5,amp5,10,0.0425,-0.0407,-0.0832,-3.31,163,165,82955,-0.0865,-0.0763,True,-0.422,False
bigup,limit_up_count,amihud20,10,-0.0204,0.0657,0.0861,3.26,160,138,19687,0.0998,0.071,True,0.416,False
quiet_comp,limit_up_count_ma5,mom20,10,-0.029,0.0292,0.0582,3.22,157,163,56096,0.0863,0.034,True,0.411,False
bigup,blow_rate,cost_bias,3,0.0425,-0.0313,-0.0738,-3.18,154,163,19687,-0.0276,-0.1158,True,-0.406,False
hito,limit_up_count,up_days,10,-0.0711,-0.0235,0.0476,3.16,161,156,79155,0.0445,0.0487,True,0.403,False
