symbol,board,pred_ret_3d,prob_up_3d,pred_ret_5d,prob_up_5d,pred_ret_10d,prob_up_10d,day_change,prob_up,momentum,consensus_score,signal_conflict,is_limit_up_close,is_one_word_limit,market_state,score,compound_ret,compound_prob,pred_q10,pred_q50,pred_q90,pred_q50_3d,pred_q50_5d,uncertainty_width,pain_prob,announce_score,weight,schema_version,model_version,stall_flag,ret_10d,ret_1d,board_panel,market_base_rate,advice,sel_20d,limit_flag,fade_score,fade_risk,fade_flag
002762,main,0.06%,32.10%,0.94%,36.90%,10.36%,76.10%,-0.42%,32.10%,medium,,,0,0,range,-1.2817193604609645,10.36%,76.12%,,,,0.63%,1.22%,,42.56%,,7.14%,1.4,20260908,,1.40%,-0.42%,main,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.559,中,昨日冲高回落·易再回落·勿追高
002484,main,0.19%,33.00%,2.52%,46.70%,9.79%,72.50%,-1.06%,33.00%,high,,,0,0,range,-3.0182715686661257,9.79%,72.50%,,,,-0.88%,-1.03%,,33.65%,,7.14%,1.4,20260908,,-1.04%,-1.06%,main,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.538,中,昨日冲高回落·易再回落·勿追高
002281,main,0.61%,36.00%,0.57%,36.50%,9.98%,72.50%,1.60%,36.00%,low,,,0,0,range,-2.440154533140246,9.98%,72.46%,,,,-0.83%,-1.19%,,38.17%,,7.14%,1.4,20260908,,8.88%,1.60%,main,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.672,中,昨日冲高回落·易再回落·勿追高
300857,GEM,-0.10%,35.50%,-0.26%,35.70%,8.02%,71.60%,-2.60%,35.50%,medium,,,0,0,range,0.2613060997947374,8.02%,71.59%,,,,-0.66%,-1.02%,,36.88%,,7.14%,1.4,20260830excessfix,,9.69%,-2.60%,GEM,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",4.0,,0.764,高,
300101,GEM,-0.83%,30.90%,-1.01%,32.20%,6.54%,65.70%,-0.97%,30.90%,medium,,,0,0,range,-0.014817188680141537,6.54%,65.68%,,,,-0.49%,-1.03%,,15.56%,,7.14%,1.4,20260830excessfix,,0.35%,-0.97%,GEM,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.204,低,
300111,GEM,-0.79%,31.10%,-0.94%,32.50%,5.85%,62.70%,-2.50%,31.10%,medium,,,0,0,range,0.18681767237514718,5.85%,62.65%,,,,-0.46%,-0.93%,,27.99%,,7.14%,1.4,20260830excessfix,,1.30%,-2.50%,GEM,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",1.0,,0.413,低,
301220,GEM,3.25%,61.90%,3.35%,57.10%,5.51%,61.20%,4.48%,61.90%,low,,,0,0,range,0.05195552636364983,5.51%,61.23%,,,,0.88%,1.01%,,47.77%,,7.14%,1.4,20260830excessfix,,-5.89%,4.48%,GEM,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.387,低,
688228,STAR,-0.24%,34.60%,0.28%,38.50%,5.34%,60.50%,-2.59%,34.60%,medium,,,0,0,range,0.18881833248007526,5.34%,60.48%,,,,-0.30%,-0.58%,,31.30%,,7.14%,1.4,20260830excessfix,,-3.29%,-2.59%,STAR,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",1.0,,0.512,中,
688311,STAR,-0.44%,33.30%,-0.44%,34.90%,5.32%,60.40%,0.55%,33.30%,medium,,,0,0,range,0.03382896080299471,5.32%,60.38%,,,,-0.25%,-0.41%,,28.25%,,7.14%,1.4,20260830excessfix,,5.99%,0.55%,STAR,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.361,低,昨日冲高回落·易再回落·勿追高
300451,GEM,-0.65%,32.00%,0.14%,37.80%,5.31%,60.30%,-3.07%,32.00%,medium,,,0,0,range,-0.012997099386658252,5.31%,60.34%,,,,-0.37%,-1.03%,,23.91%,,7.14%,1.4,20260830excessfix,,-0.29%,-3.07%,GEM,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",0.0,,0.276,低,
688627,STAR,-0.36%,33.80%,-0.11%,36.50%,4.65%,57.40%,-2.82%,33.80%,medium,,,0,0,range,-0.007947155892233599,4.65%,57.38%,,,,-0.66%,-1.00%,,37.10%,,7.14%,1.4,20260830excessfix,,3.15%,-2.82%,STAR,44.48%,"市场条件偏强 (base_rate=0.445): 模型近期胜率高, 正常参与",1.0,,0.769,高,
