symbol,n
000006,115
000009,641
000011,828
000012,859
000014,343
000021,829
000025,860
000026,829
000027,832
000028,838
000029,832
000032,824
000034,813
000035,627
000036,99
000037,835
000039,609
000042,112
000048,657
000049,820
000059,592
000060,849
000061,839
000062,802
000065,832
000066,130
000088,834
000089,840
000096,609
000099,815
000155,670
000156,644
000158,828
000159,847
000400,840
000402,125
000403,582
000404,835
000417,850
000422,829
000423,817
000426,639
000429,610
000498,845
000501,816
000507,839
000513,833
000519,839
000525,452
000528,825
000530,849
000531,840
000532,844
000534,631
000537,840
000539,857
000543,854
000547,117
000550,852
000551,845
000554,678
000555,816
000559,813
000561,433
000563,801
000565,846
000567,348
000570,813
000573,832
000581,853
000582,819
000589,832
000591,848
000597,837
000598,852
000600,823
000601,520
000603,828
000612,818
000623,847
000628,860
000636,849
000650,855
000661,817
000668,848
000672,821
000680,828
000681,663
000682,848
000683,846
000685,853
000686,820
000688,797
000690,814
000700,729
000703,832
000709,857
000716,631
000719,843
000722,805
000728,840
000729,856
000731,674
000733,841
000735,812
000737,857
000738,840
000739,802
000750,850
000751,822
000753,836
000756,614
000758,849
000762,592
000777,853
000778,848
000779,837
000782,109
000783,823
000785,364
000786,830
000788,767
000790,376
000791,816
000795,824
000796,234
000799,623
000800,847
000801,838
000803,124
000810,833
000811,838
000818,334
000819,609
000822,327
000823,808
000825,828
000828,813
000829,594
000830,840
000831,845
000833,820
000837,718
000848,821
000859,108
000860,587
000875,828
000876,619
000877,336
000878,815
000880,659
000883,858
000885,829
000886,470
000887,824
000888,855
000893,824
000898,108
000899,830
000901,840
000902,820
000905,815
000913,819
000915,843
000917,847
000919,833
000920,833
000921,634
000922,815
000923,829
000925,849
000926,361
000927,838
000928,823
000930,851
000932,837
000933,821
000935,343
000936,847
000937,834
000948,846
000949,824
000950,835
000951,840
000957,851
000958,684
000960,800
000962,837
000966,609
000967,851
000968,840
000969,835
000970,830
000973,829
000983,853
000987,842
000989,808
000990,585
000993,328
000997,839
000998,830
001202,592
001203,842
001206,812
001208,831
001210,826
001211,825
001212,579
001215,358
001216,835
001218,844
001221,53
001222,541
001223,689
001225,647
001227,834
001229,778
001230,800
001236,578
001256,710
001258,798
001259,756
001266,822
001267,811
001268,824
001270,814
001283,748
001286,628
001287,618
001288,811
001289,839
001298,690
001301,699
001309,759
001311,635
001313,662
001314,649
001316,795
001317,597
001326,479
001328,614
001332,741
001337,621
001339,786
001359,390
001360,625
001376,498
001378,470
001382,136
001388,105
001389,400
001395,183
001400,115
001696,829
001872,853
001914,859
002003,814
002004,832
002006,844
002007,832
002008,815
002009,855
002010,841
002012,818
002015,834
002017,831
002019,821
002020,830
002021,239
002023,347
002025,855
002029,594
002030,348
002032,820
002033,815
002034,675
002038,857
002039,821
002040,861
002041,579
002042,831
002043,822
002044,850
002045,824
002046,832
002048,821
002051,840
002053,820
002054,803
002056,834
002057,837
002060,816
002061,819
002062,818
002063,833
002064,829
002065,850
002066,597
002067,830
002073,827
002075,832
002078,846
002079,842
002080,818
002081,826
002083,834
002084,352
002085,834
002090,839
002091,827
002092,109
002093,828
002096,857
002097,850
002099,92
002100,829
002101,850
002104,859
002106,834
002107,763
002108,837
002110,852
002111,857
002112,838
002117,811
002119,806
002120,833
002123,263
002125,830
002126,816
002127,826
002128,813
002129,365
002130,849
002132,848
002135,825
002136,348
002137,818
002138,783
002139,810
002140,839
002144,835
002145,829
002148,581
002149,850
002150,821
002151,339
002152,820
002153,809
002154,819
002156,820
002158,826
002161,850
002165,832
002170,810
002171,826
002174,383
002177,356
002180,113
002181,643
002182,584
002183,604
002184,383
002187,588
002190,353
002192,845
002194,570
002195,330
002201,835
002203,849
002204,830
002208,370
002212,603
002213,577
002215,822
002216,826
002218,604
002222,848
002223,817
002225,821
002226,846
002228,840
002232,822
002233,803
002237,825
002239,836
002240,317
002242,807
002243,817
002244,836
002245,815
002246,829
002249,812
002250,849
002252,838
002254,816
002255,805
002258,830
002262,818
002264,825
002265,850
002266,827
002267,839
002268,841
002270,803
002271,641
002272,370
002273,824
002274,820
002276,831
002277,337
002278,831
002281,591
002283,809
002284,831
002287,834
002290,834
002293,816
002294,818
002296,834
002299,815
002300,848
002301,840
002303,836
002307,382
002312,831
002315,798
002317,821
002318,820
002320,802
002324,831
002328,821
002332,820
002333,826
002334,817
002335,821
002338,820
002339,823
002340,847
002342,824
002345,815
002346,847
002347,607
002349,821
002350,829
002351,815
002358,850
002361,615
002364,836
002365,830
002367,817
002368,608
002372,806
002373,813
002376,821
002378,840
002379,799
002380,813
002382,92
002385,695
002386,358
002389,816
002390,815
002392,846
002394,815
002396,817
002400,725
002402,819
002403,582
002404,803
002406,849
002407,814
002408,589
002409,821
002410,807
002412,833
002414,334
002416,820
002421,343
002423,848
002428,845
002429,824
002430,828
002432,823
002434,844
002436,820
002438,834
002439,360
002440,833
002442,586
002443,814
002444,834
002448,835
002449,589
002451,822
002452,821
002455,561
002457,818
002458,810
002459,338
002461,831
002465,815
002467,560
002468,829
002471,396
002472,846
002478,839
002479,812
002481,678
002483,825
002484,820
002486,821
002487,792
002488,840
002492,576
002497,836
002498,831
002500,839
002507,820
002508,824
002511,812
002515,823
002516,806
002517,828
002518,819
002519,313
002522,827
002523,841
002526,849
002530,807
002531,577
002533,813
002534,820
002536,835
002539,834
002540,846
002541,848
002544,850
002545,856
002546,799
002549,819
002550,821
002552,683
002553,834
002555,823
002557,832
002559,815
002560,807
002562,809
002563,806
002565,593
002566,821
002567,123
002568,826
002572,815
002578,341
002579,111
002580,831
002582,822
002584,477
002585,820
002587,819
002588,830
002589,457
002590,820
002593,812
002595,806
002597,815
002599,832
002601,716
002603,833
002605,829
002606,820
002608,852
002611,810
002612,818
002613,606
002615,578
002664,815
002668,816
002669,821
002673,825
002674,611
002675,801
002676,829
002683,802
002687,830
002690,810
002692,828
002695,819
002696,828
002697,821
002698,848
002700,855
002701,824
002702,342
002703,577
002705,834
002706,812
002755,830
002756,821
002757,818
002760,365
002761,852
002765,832
002767,847
002768,835
002771,597
002772,813
002773,828
002774,816
002777,830
002779,836
002780,824
002782,811
002787,572
002788,850
002791,573
002792,833
002795,98
002797,855
002803,838
002805,94
002807,820
002809,840
002810,853
002815,821
002820,849
002821,840
002823,812
002824,825
002826,828
002827,828
002828,605
002829,119
002830,825
002831,825
002832,828
002833,819
002838,840
002839,813
002840,116
002841,803
002842,833
002843,599
002845,832
002846,821
002847,839
002849,850
002850,821
002851,859
002857,591
002860,810
002861,580
002864,858
002865,317
002866,805
002867,855
002870,816
002871,826
002873,819
002876,815
002878,336
002879,795
002881,857
002882,833
002885,822
002886,815
002887,825
002888,822
002891,818
002892,822
002893,834
002895,815
002896,849
002897,822
002899,831
002900,579
002901,846
002902,107
002903,584
002906,806
002907,825
002910,130
002911,799
002912,820
002913,835
002915,109
002918,834
002919,828
002921,344
002922,826
002923,580
002925,816
002926,861
002927,598
002929,857
002930,592
002935,833
002936,602
002937,817
002939,857
002940,835
002941,849
002943,827
002945,855
002946,828
002947,802
002948,835
002950,838
002951,593
002952,822
002953,816
002955,540
002956,812
002957,835
002958,843
002960,807
002961,814
002962,825
002963,574
002965,828
002966,838
002967,823
002970,802
002971,844
002972,802
002973,853
002975,807
002976,840
002978,853
002979,853
002980,585
002981,817
002984,845
002985,796
002986,609
002987,814
002988,576
002989,100
002990,815
002993,820
002995,100
002997,826
002998,814
003001,827
003002,824
003006,814
003007,824
003009,683
003010,830
003011,843
003012,822
003013,838
003015,815
003018,853
003019,822
003020,821
003021,826
003022,802
003023,831
003026,826
003030,825
003031,829
003033,796
003035,859
003036,821
003040,823
003043,828
300001,819
300002,834
300003,840
300005,821
300007,829
300008,844
300009,821
300012,802
300016,571
300017,828
300019,803
300026,852
300031,845
300034,826
300035,826
300036,831
300037,800
300039,820
300040,829
300041,842
300042,820
300043,840
300046,838
300047,832
300049,846
300054,834
300055,845
300057,817
300058,840
300062,332
300066,828
300070,331
300073,819
300075,338
300079,845
300129,637
300130,844
300133,821
300135,593
300136,816
300137,852
300138,815
300139,850
300140,825
300141,349
300143,821
300144,831
300145,832
300146,795
300151,811
300153,821
300154,826
300161,850
300170,811
300171,821
300172,806
300174,849
300179,831
300181,820
300183,579
300185,688
300188,108
300191,820
300192,848
300194,819
300196,811
300200,829
300201,840
300203,575
300206,803
300207,825
300209,476
300213,584
300215,365
300217,830
300219,835
300221,843
300222,794
300223,814
300224,806
300225,636
300226,831
300227,406
300228,813
300229,345
300231,818
300232,819
300233,811
300234,583
300235,819
300236,818
300239,819
300241,842
300243,829
300244,839
300246,700
300248,838
300253,582
300257,834
300258,829
300259,809
300260,853
300261,429
300263,821
300265,839
300267,101
300283,829
300284,825
300285,822
300286,812
300288,852
300294,814
300296,813
300298,589
300303,816
300304,815
300307,804
300319,828
300320,824
300321,813
300327,849
300335,814
300337,848
300339,821
300341,840
300342,812
300346,812
300347,850
300348,824
300349,814
300351,816
300354,824
300355,366
300357,849
300358,840
300360,823
300363,808
300365,339
300369,126
300373,806
300377,367
300378,825
300380,824
300382,367
300383,820
300386,812
300389,672
300390,580
300393,364
300395,580
300398,849
300399,823
300400,742
300401,818
300403,813
300404,834
300406,819
300407,848
300409,825
300412,821
300414,846
300415,826
300416,819
300420,838
300421,826
300423,103
300428,839
300432,823
300434,834
300435,815
300438,822
300440,812
300441,821
300443,810
300444,811
300445,816
300446,834
300447,801
300448,817
300485,819
300487,845
300488,842
300491,799
300492,847
300493,830
300494,349
300496,815
300499,825
300503,819
300504,339
300505,821
300507,841
300508,816
300509,850
300515,825
300516,809
300518,104
300519,821
300521,504
300561,835
300562,810
300563,821
300566,830
300568,813
300569,821
300570,850
300572,339
300573,816
300575,566
300576,828
300577,821
300579,593
300580,826
300581,341
300582,579
300584,839
300586,337
300587,603
300589,603
300590,817
300592,849
300593,336
300595,813
300596,835
300598,337
300599,819
300601,830
300602,819
300604,824
300605,361
300606,821
300607,823
300608,333
300609,347
300611,825
300613,823
300617,579
300618,825
300619,842
300620,808
300622,821
300623,840
300624,342
300626,828
300627,813
300629,821
300631,822
300632,840
300633,826
300634,839
300635,358
300638,827
300639,331
300640,829
300641,835
300642,816
300643,822
300645,822
300648,107
300649,834
300650,836
300651,833
300652,828
300654,818
300655,826
300656,339
300660,824
300662,829
300663,124
300664,819
300667,332
300668,338
300672,589
300674,809
300676,362
300677,830
300678,823
300679,822
300680,834
300681,828
300682,832
300683,489
300684,821
300687,577
300689,828
300690,835
300691,573
300693,813
300694,820
300695,831
300696,829
300697,829
300698,396
300699,834
300700,325
300702,823
300703,812
300705,819
300706,359
300708,796
300709,839
300715,331
300717,816
300718,821
300720,823
300721,590
300722,831
300723,337
300724,829
300725,829
300726,831
300727,821
300730,109
300731,822
300733,822
300735,822
300737,817
300738,844
300739,827
300740,845
300747,821
300748,808
300782,561
300783,825
300785,820
300786,96
300788,724
300789,599
300790,823
300792,805
300793,579
300795,803
300798,609
300801,814
300802,853
300804,575
300805,847
300806,861
300809,846
300810,832
300811,819
300812,825
300814,853
300815,827
300816,832
300818,813
300819,830
300820,824
300821,814
300823,822
300826,829
300827,818
300830,585
300834,838
300835,809
300836,840
300839,89
300840,833
300841,821
300842,546
300843,821
300845,818
300847,818
300850,801
300852,803
300853,333
300854,821
300855,838
300857,797
300858,850
300859,796
300860,818
300861,847
300862,589
300863,821
300867,818
300868,601
300870,820
300871,846
300872,576
300873,843
300878,578
300879,580
300880,821
300881,582
300884,820
300885,821
300887,368
300888,817
300890,829
300891,576
300894,336
300895,97
300898,821
300900,354
