date,found_n,captured,end_reason,complete
20230901,,19,short_page,True
20230904,,60,short_page,True
20230905,,3,short_page,True
20230906,6.0,6,complete,True
20230907,3.0,3,complete,True
20230908,6.0,6,complete,True
20230911,9.0,10,complete,True
20230912,10.0,10,complete,True
20230913,4.0,4,complete,True
20230914,,17,short_page,True
20230915,,11,short_page,True
20230918,,24,short_page,True
20230919,,16,short_page,True
20230920,4.0,4,complete,True
20230921,4.0,4,complete,True
20230922,8.0,8,complete,True
20230925,,17,short_page,True
20230926,,13,short_page,True
20230927,,20,short_page,True
20230928,,21,short_page,True
20231009,,26,short_page,True
20231010,,11,short_page,True
20231011,,17,short_page,True
20231012,,22,short_page,True
20231013,,20,short_page,True
20231016,,19,short_page,True
20231017,,18,short_page,True
20231018,7.0,7,complete,True
20231019,2.0,2,complete,True
20231020,5.0,5,complete,True
20231023,4.0,4,complete,True
20231024,9.0,9,complete,True
20231025,,18,short_page,True
20231026,10.0,10,complete,True
20231027,,24,short_page,True
20231030,,27,short_page,True
20231031,,13,short_page,True
20231101,7.0,7,complete,True
20231102,2.0,2,complete,True
20231103,7.0,7,complete,True
20231106,5.0,5,complete,True
20231107,5.0,5,complete,True
20231108,,23,short_page,True
20231109,,17,short_page,True
20231110,,25,short_page,True
20231113,,69,short_page,True
20231114,,41,short_page,True
20231115,,56,short_page,True
20231116,,22,short_page,True
20231117,,76,short_page,True
20231120,,125,short_page,True
20231121,,112,short_page,True
20231122,,30,short_page,True
20231123,,71,short_page,True
20231124,,32,short_page,True
20231127,,48,short_page,True
20231128,,77,short_page,True
20231129,,48,short_page,True
20231130,,42,short_page,True
20231201,,46,short_page,True
20231204,,53,short_page,True
20231205,,11,short_page,True
20231206,,67,short_page,True
20231207,,34,short_page,True
20231208,,17,short_page,True
20231211,,35,short_page,True
20231212,,35,short_page,True
20231213,,49,short_page,True
20231214,,30,short_page,True
20231215,,23,short_page,True
20231218,,11,short_page,True
20231219,,14,short_page,True
20231220,,15,short_page,True
20231221,,11,short_page,True
20231222,,17,short_page,True
20231225,,16,short_page,True
20231226,,12,short_page,True
20231227,7.0,7,complete,True
20231228,,22,short_page,True
20231229,,51,short_page,True
20240102,,73,short_page,True
20240103,,28,short_page,True
20240104,,15,short_page,True
20240105,7.0,9,complete,True
20240108,3.0,3,complete,True
20240109,8.0,8,complete,True
20240110,6.0,6,complete,True
20240111,,15,short_page,True
20240112,,12,short_page,True
20240115,,16,short_page,True
20240116,9.0,10,complete,True
20240117,10.0,10,complete,True
20240118,3.0,3,complete,True
20240119,4.0,4,complete,True
20240122,1.0,1,complete,True
20240123,1.0,1,complete,True
20240124,8.0,9,complete,True
20240125,,16,short_page,True
20240126,,16,short_page,True
20240129,7.0,7,complete,True
20240130,,0,no_table,True
20240131,1.0,0,no_table,True
20240201,,0,no_table,True
20240202,,0,no_table,True
20240205,6.0,6,complete,True
20240206,6.0,6,complete,True
20240207,7.0,7,complete,True
20240208,,0,no_table,True
20240219,,27,short_page,True
20240220,,12,short_page,True
20240221,,13,short_page,True
20240222,3.0,3,complete,True
20240223,,0,no_table,True
20240226,,0,no_table,True
20240227,,0,no_table,True
20240228,,0,no_table,True
20240229,1.0,1,complete,True
20240301,,17,short_page,True
20240304,,19,short_page,True
20240305,,15,short_page,True
20240306,,18,short_page,True
20240307,,23,short_page,True
20240308,,21,short_page,True
20240311,,14,short_page,True
20240312,,15,short_page,True
20240313,2.0,2,complete,True
20240314,8.0,8,complete,True
20240315,,15,short_page,True
20240318,,39,short_page,True
20240319,9.0,9,complete,True
20240320,,14,short_page,True
20240321,,18,short_page,True
20240322,8.0,8,complete,True
20240325,7.0,7,complete,True
20240326,8.0,8,complete,True
20240327,5.0,4,short_page,True
20240328,,14,short_page,True
20240329,,37,short_page,True
20240401,,48,short_page,True
20240402,,28,short_page,True
20240403,,28,short_page,True
20240408,,13,short_page,True
20240409,9.0,9,complete,True
20240410,4.0,4,complete,True
20240411,,22,short_page,True
20240412,,10,short_page,True
20240415,,37,short_page,True
20240416,5.0,5,complete,True
20240417,,34,short_page,True
20240418,,20,short_page,True
20240419,,26,short_page,True
20240422,8.0,8,complete,True
20240423,5.0,5,complete,True
20240424,8.0,8,complete,True
20240425,,14,short_page,True
20240426,,13,short_page,True
20240429,,25,short_page,True
20240430,,23,short_page,True
20240506,,58,short_page,True
20240507,,11,short_page,True
20240508,6.0,6,complete,True
20240509,,12,short_page,True
20240510,,12,short_page,True
20240513,,31,short_page,True
20240514,,23,short_page,True
20240515,,4,short_page,True
20240516,0.0,0,no_table,True
20240517,,38,short_page,True
20240520,,36,short_page,True
20240521,,16,short_page,True
20240522,,22,short_page,True
20240523,,12,short_page,True
20240524,,12,short_page,True
20240527,,16,short_page,True
20240528,,15,short_page,True
20240529,,16,short_page,True
20240530,,12,short_page,True
20240531,0.0,0,no_table,True
20240603,,18,short_page,True
20240604,,11,short_page,True
20240605,,5,short_page,True
20240606,,11,short_page,True
20240607,,8,short_page,True
20240611,,1,short_page,True
20240612,,17,short_page,True
20240613,,10,short_page,True
20240614,,4,short_page,True
20240617,,11,short_page,True
20240618,,7,short_page,True
20240619,,2,short_page,True
20240620,,5,short_page,True
20240621,,1,short_page,True
20240624,0.0,0,no_table,True
20240625,,1,short_page,True
20240626,,2,short_page,True
20240627,,2,short_page,True
20240628,,14,short_page,True
20240701,,28,short_page,True
20240702,,8,short_page,True
20240703,,3,short_page,True
20240704,,0,no_more,True
20240705,,4,short_page,True
20240708,,5,short_page,True
20240709,,9,short_page,True
20240710,,3,short_page,True
20240711,,10,short_page,True
20240712,,8,short_page,True
20240715,,5,short_page,True
20240716,,2,short_page,True
20240717,,10,short_page,True
20240718,,6,short_page,True
20240719,,4,short_page,True
20240722,,1,short_page,True
20240723,,5,short_page,True
20240724,,7,short_page,True
20240725,,4,short_page,True
20240726,,1,short_page,True
20240729,,3,short_page,True
20240730,,4,short_page,True
20240731,,10,short_page,True
20240801,,8,short_page,True
20240802,,1,short_page,True
20240805,,0,no_more,True
20240806,,3,short_page,True
20240807,,2,short_page,True
20240808,,2,short_page,True
20240809,,4,short_page,True
20240812,,3,short_page,True
20240813,,3,short_page,True
20240814,,3,short_page,True
20240815,,7,short_page,True
20240816,,9,short_page,True
20240819,,15,short_page,True
20240820,,5,short_page,True
20240821,,3,short_page,True
20240822,,5,short_page,True
20240823,,4,short_page,True
20240826,,3,short_page,True
20240827,,3,short_page,True
20240828,,5,short_page,True
20240829,,7,short_page,True
20240830,,16,short_page,True
20240902,,9,short_page,True
20240903,,11,short_page,True
20240904,,4,short_page,True
20240905,,12,short_page,True
20240906,,1,short_page,True
20240909,,9,short_page,True
20240910,,8,short_page,True
20240911,,6,short_page,True
20240912,,16,short_page,True
20240913,,10,short_page,True
20240918,,11,short_page,True
20240919,,22,short_page,True
20240920,,16,short_page,True
20240923,,6,short_page,True
20240924,,99,short_page,True
20240925,,80,short_page,True
20240926,,60,short_page,True
20240927,,203,short_page,True
20240930,,35,short_page,True
20241008,,0,no_more,True
20241009,,0,no_more,True
20241010,,0,no_more,True
20241011,,0,no_more,True
20241014,,0,no_more,True
20241015,,0,no_more,True
20241016,,0,no_more,True
20241017,,0,no_more,True
20241018,,0,no_more,True
20241021,,0,no_more,True
20241022,,2,short_page,True
20241023,,0,no_more,True
20241024,,2,short_page,True
20241025,,4,short_page,True
20241028,,7,short_page,True
20241029,,1,short_page,True
20241030,,0,no_more,True
20241031,,1,short_page,True
20241101,,5,short_page,True
20241104,,2,short_page,True
20241105,,13,short_page,True
20241106,,23,short_page,True
20241107,,20,short_page,True
20241108,,7,short_page,True
20241111,,23,short_page,True
20241112,,13,short_page,True
20241113,,6,short_page,True
20241114,,2,short_page,True
20241115,,2,short_page,True
20241118,,6,short_page,True
20241119,,5,short_page,True
20241120,,15,short_page,True
20241121,,14,short_page,True
20241122,,9,short_page,True
20241125,,3,short_page,True
20241126,,10,short_page,True
20241127,,3,short_page,True
20241128,,12,short_page,True
20241129,,10,short_page,True
20241202,,27,short_page,True
20241203,,8,short_page,True
20241204,,6,short_page,True
20241205,,7,short_page,True
20241206,,23,short_page,True
20241209,,12,short_page,True
20241210,,6,short_page,True
20241211,,4,short_page,True
20241212,,56,short_page,True
20241213,,12,short_page,True
20241216,,22,short_page,True
20241217,,5,short_page,True
20241218,,6,short_page,True
20241219,,3,short_page,True
20241220,,7,short_page,True
20241223,,7,short_page,True
20241224,,2,short_page,True
20241225,,1,short_page,True
20241226,,1,short_page,True
20241227,,2,short_page,True
20241230,,6,short_page,True
20241231,,2,short_page,True
20250102,,1,short_page,True
20250103,,1,short_page,True
20250106,,0,no_more,True
20250107,,1,short_page,True
20250108,,7,short_page,True
20250109,,0,no_more,True
20250110,,1,short_page,True
20250113,,0,no_more,True
20250114,,3,short_page,True
